matrix_size,num_threads,openblas_float,openblas_double,mkl_float,mkl_double,blis_float,blis_double
10000,8,702,351,460,338,726,339
10000,16,1282,625,764,507,1299,636
10000,24,1622,861,1060,553,1663,770
10000,32,2102,909,1193,578,1658,855
10000,40,2038,893,1289,586,1663,879
10000,48,2043,898,1331,586,1684,906
10000,56,1708,834,1298,577,1570,836
10000,64,1811,807,1290,574,1507,818
10000,72,1703,790,1227,571,1332,794
10000,80,1584,783,1312,544,1417,813
10000,88,1463,718,1323,559,1528,855
10000,96,1417,701,1396,551,1521,843
10000,104,1339,663,1403,546,1556,832
10000,112,1301,682,1423,537,1168,719
10000,120,1272,677,1522,532,1460,770
10000,128,1220,605,1626,523,1125,644
