matrix_size,num_threads,openblas_float,openblas_double,mkl_float,mkl_double,blis_float,blis_double
10000,8,696,352,379,329,715,352
10000,16,1333,668,672,545,1343,682
10000,24,1123,751,989,559,1689,822
10000,32,1314,665,1299,575,1646,759
10000,40,1220,650,1407,541,1670,774
10000,48,1186,631,1487,579,2013,873
10000,56,1119,611,1476,578,1623,810
10000,64,1213,590,1534,578,1818,812
10000,72,1139,594,1545,569,1315,705
10000,80,1150,660,1595,551,1531,755
10000,88,1138,666,1530,541,1700,786
10000,96,1117,581,1475,531,1589,789
10000,104,1128,591,1446,533,1632,813
10000,112,1184,640,1426,530,1151,707
10000,120,1219,646,1522,528,1442,760
10000,128,1216,656,1629,523,1140,640
