matrix_size,num_threads,openblas_float,openblas_double,mkl_float,mkl_double,blis_float,blis_double
10000,1,135,67,130,64,123,64
10000,2,229,117,225,115,202,108
10000,3,357,183,363,186,317,173
10000,4,484,236,480,252,400,226
10000,5,609,301,624,327,535,298
10000,6,731,380,749,393,613,333
10000,7,844,434,880,461,775,428
10000,8,1031,513,1016,528,848,470
10000,9,1143,579,1153,599,945,511
10000,10,1288,636,1285,660,1047,541
10000,11,1416,706,1422,726,1236,655
10000,12,1511,757,1546,787,1292,694
10000,13,1685,796,1675,858,1298,693
10000,14,1762,883,1790,915,1475,729
10000,15,1988,941,1950,986,1597,824
10000,16,2087,989,2089,1045,1679,883
10000,17,2214,1034,2219,1113,1680,884
10000,18,2340,1114,2344,1174,1781,960
10000,19,2489,1185,2478,1243,1786,962
10000,20,2518,1228,2594,1303,2064,1074
10000,21,2700,1287,2728,1371,2267,1067
10000,22,2712,1335,2844,1423,2224,1000
10000,23,2879,1376,2969,1485,2218,1010
10000,24,2982,1380,3088,1545,2269,1178
