matrix_size,num_threads,openblas_float,openblas_double,mkl_float,mkl_double,blis_float,blis_double
10000,1,157,79,150,74,132,73
10000,2,276,130,273,133,235,126
10000,3,465,226,456,229,409,216
10000,4,551,254,536,265,470,219
10000,5,701,324,713,354,623,322
10000,6,867,416,889,452,777,393
10000,7,1022,456,1014,512,857,446
10000,8,1170,544,1201,609,969,503
10000,9,1371,685,1386,698,1192,610
10000,10,1461,659,1492,755,1266,625
10000,11,1556,730,1611,815,1348,680
10000,12,1649,776,1722,877,1428,741
10000,13,1821,826,1866,953,1431,727
10000,14,2023,893,2064,1039,1544,722
10000,15,2145,978,2213,1096,1654,755
10000,16,2267,1011,2362,1185,1861,874
10000,17,2369,950,2482,1243,1867,885
10000,18,2485,1125,2680,1335,2104,972
10000,19,2301,1093,2742,1360,2158,966
10000,20,2326,1032,2825,1394,2010,946
10000,21,2216,973,2893,1416,1780,828
10000,22,2311,943,2941,1464,1729,795
10000,23,2302,922,2950,1447,1710,791
10000,24,2298,897,2919,1422,2133,854
